City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
682,Namwala,ZM,24.02,overcast clouds,-15.7504,26.4384,Corner Point Lodge
683,Nacala,MZ,25.14,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
684,Kalianget,ID,27.36,broken clouds,-7.05,113.9333,Pesanggrahan Garam
686,Sulangan,PH,27.8,scattered clouds,11.1373,123.7228,Maia's Beach Resort
689,Peniche,PT,18.39,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
691,Karratha,AU,28.79,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
692,Vilhena,BR,27.12,broken clouds,-12.7406,-60.1458,Hotel Mirage
694,Hobyo,SO,28.57,broken clouds,5.3505,48.5268,Iftin hotel hobyo
695,Kloulklubed,PW,25.28,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
701,Sarankhola,BD,26.9,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
702,Wenceslau Braz,BR,21.24,clear sky,-23.8739,-49.8028,Hotel Santa Maria
703,Praia,CV,24.3,few clouds,14.9215,-23.5087,LT Aparthotel
705,Sehithwa,BW,25.38,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
707,Awbari,LY,27.51,clear sky,26.5921,12.7805,فندق أوباري
708,Xai-Xai,MZ,22.85,heavy intensity rain,-25.0519,33.6442,Complexo da Familia
709,Miandrivazo,MG,28.33,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
710,Cameta,BR,28.04,light rain,-2.2444,-49.4958,Hotel San Juan
714,Chapada Dos Guimaraes,BR,22.81,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
715,Maroantsetra,MG,25.25,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
717,Barranca,PE,21.61,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
